CNPJ_CIA,DENOM_SOCIAL,SIT,DT_REG,DT_CONST,DT_CANCEL
05.197.443/0001-38,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,ATIVO,4/20/2018,8/30/2001,
05.197.443/0001-38,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,ATIVO,4/20/2018,8/30/2001,
13.407.573/0001-86,HARPIA ÔMEGA PARTICIPAÇÕES S.A.,CANCELADA,8/18/2011,2/24/2011,6/7/2016
56.444.250/0001-75,HAUSCENTER SA,ATIVO,5/2/1995,9/16/1986,
14.785.152/0001-51,HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.,ATIVO,12/18/2020,12/2/2011,
49.263.189/0001-02,HELBOR EMPREENDIMENTOS S/A,ATIVO,7/9/2007,1/1/1977,
32.431.519/0001-10,HÉLIO VALGAS SOLAR PARTICIPAÇÕES S.A.,ATIVO,10/30/2023,1/9/2019,
92.749.225/0001-63,HERCULES S/A - FABRICA DE TALHERES,ATIVO,11/1/1968,1/1/1936,
82.647.942/0001-20,HERING SA BRINQ INST MUSICAIS,CANCELADA,1/12/1987,,3/22/2005
12.648.327/0001-53,HIDROVIAS DO BRASIL S.A.,ATIVO,12/14/2011,8/18/2010,
60.904.810/0001-02,HINDI CIA BRAS DE HABITACOES,CANCELADA,7/20/1977,,11/29/1990
39.393.829/0001-37,HLASA PARTICIPAÇÕES S.A.,,12/10/2020,9/23/2020,1/10/2022
40.159.947/0001-64,HMOBI PARTICIPAÇÕES S.A,ATIVO,4/7/2021,12/8/2020,
61.150.397/0001-92,HOECHST BRASIL QUIM FARM SA,CANCELADA,3/26/1985,,2/12/1996
60.861.788/0001-52,HOECHST BRASIL SA QUIM FARM,CANCELADA,7/18/1980,,2/12/1996
18.903.785/0001-78,HOLDING DO ARAGUAIA S.A.,ATIVO,12/23/2021,8/20/2013,
23.864.409/0001-51,HOLDING VERZANI & SANDRINI S.A.,CANCELADA,3/23/2022,12/18/2015,8/12/2022
00.924.432/0001-99,HOPI HARI SA,CANCELADA,2/13/1996,8/14/1995,5/30/2018
02.560.878/0001-07,HOSPITAL ANCHIETA S.A.,ATIVO,12/8/2021,8/1/1995,
25.249.439/0001-83,HOSPITAL CARE CALEDONIA S.A.,ATIVO,4/28/2021,6/20/2016,
00.949.959/0001-78,HOSPITAL LA SANTE SA,CANCELADA,3/29/1996,,4/27/2004
16.676.520/0001-59,HOSPITAL MATER DEI S.A.,ATIVO,4/14/2021,10/15/1973,
33.858.168/0001-91,HOTEIS E TURISMO GUANABARA SA,CANCELADA,7/17/1968,,3/13/2015
33.200.049/0001-47,HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL,ATIVO,8/8/1980,4/28/1943,
82.602.426/0001-80,HOTEIS TANNENHOF SA,CANCELADA,5/20/1981,,9/19/1990
15.675.715/0001-11,HOUSI S.A.,CANCELADA,11/10/2020,5/28/2012,6/21/2022
60.891.751/0001-77,HOWA S.A. INDUSTRIAS MECANICAS,CANCELADA,1/12/1973,,12/18/1984
12.827.269/0001-25,HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A,CANCELADA,4/11/2018,11/4/2010,6/15/2020
34.262.972/0001-76,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,CANCELADA,5/23/1983,,8/3/1990
34.262.972/0001-76,HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN,CANCELADA,12/13/1995,1/1/1978,10/29/2004
44.847.374/0001-12,HSBC LEASING A.M.(BRASIL) SA,CANCELADA,9/23/1981,,12/23/1999
76.538.446/0001-36,HSBC SEGUROS BRASIL SA,CANCELADA,7/20/1977,,12/26/2000
67.760.702/0001-44,HSBX BAURU EMPREENDIMENTOS SA,CANCELADA,1/26/1993,4/7/1992,9/16/2009
50.991.421/0001-08,HUMAITA SA,CANCELADA,12/12/1984,,12/19/1989
40.760.921/0001-77,HUMAITA SECURITIZADORA S/A,CANCELADA,7/5/2021,12/4/2020,6/30/2022
18.483.666/0001-03,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A,ATIVO,6/10/2021,7/15/2013,
84.685.189/0001-93,HUSKY SA,CANCELADA,8/25/1987,,1/9/2007
01.180.474/0001-25,HYDE PARK SA,CANCELADA,5/28/1996,3/4/1996,1/9/2007
02.932.074/0001-91,HYPERA S/A,ATIVO,4/16/2008,1/1/2002,
34.270.520/0001-36,IBM LEASING ARREND MERC SA,CANCELADA,12/3/1993,,1/9/1995
17.157.264/0001-56,ICAL IND DE CALCINACAO SA,CANCELADA,9/28/1982,,2/23/1989
10.969.780/0001-36,ICANOR SA ARAMES E CABOS,CANCELADA,7/7/1971,,10/26/1984
49.058.555/0001-83,IDEROL SA EQUIPS RODOVIARIOS,CANCELADA,7/4/1990,,12/20/2005
49.867.112/0001-33,IFEMA SA I DE CONDS ELETRICOS,CANCELADA,9/19/1972,,9/19/1989
40.593.395/0001-06,IFIN PARTICIPACOES S.A.,ATIVO,7/28/2022,9/29/2020,
43.185.362/0001-07,IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL,CANCELADA,12/19/1973,10/5/1964,6/7/2023
42.353.180/0001-35,IGUÁ RIO DE JANEIRO S.A.,ATIVO,3/30/2022,6/11/2021,
08.159.965/0001-33,IGUA SANEAMENTO S.A.,CANCELADA,2/21/2011,6/26/2006,3/23/2011
08.159.965/0001-33,IGUA SANEAMENTO S.A.,ATIVO,5/13/2013,6/26/2006,
81.304.727/0001-64,IGUACU CELULOSE PAPEL SA,,,,
51.218.147/0001-93,IGUATEMI EMPRESA DE SHOPPING CENTERS S/A,ATIVO,2/2/2007,5/23/1979,
60.543.816/0001-93,IGUATEMI S.A.,ATIVO,3/12/1946,1/24/1946,
60.484.797/0001-71,IKPC INDS KLABIN PAPEL CEL SA,CANCELADA,11/14/1979,,12/28/2001
78.571.411/0001-24,IMCOPA-IMPORTAÇÃO,,,,
92.783.646/0001-00,IMCOSUL SA,CANCELADA,7/20/1977,,12/20/2005
33.123.118/0001-66,IMPERIO LISAMAR SA IND E COM,CANCELADA,9/21/1994,,8/7/2007
04.893.996/0001-62,IMPORTADORA DE FERRAGENS SA,CANCELADA,7/20/1977,,1/4/2010
61.081.972/0001-42,INBRAC SA CONDUTORES ELETRICOS,CANCELADA,5/25/1981,,3/5/2002
09.054.385/0001-44,INBRANDS SA,ATIVO,8/8/2011,6/30/2007,
09.611.768/0001-76,INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.,ATIVO,11/9/2017,6/3/2008,
15.126.626/0001-16,IND AZULEJOS BAHIA SA,CANCELADA,12/30/1971,3/27/1962,1/30/2018
15.102.692/0001-56,IND BAHIANA DE LAJES SA,CANCELADA,11/10/1969,,3/22/2005
04.393.401/0001-00,IND BEBS ANTARCTICA AMAZ  SA,CANCELADA,11/30/1981,,1/11/1999
17.317.686/0001-41,IND BEBS ANTARCTICA MG SA,CANCELADA,12/12/1979,,1/17/1995
23.536.691/0001-48,IND BEBS ANTARCTICA MG SA,CANCELADA,5/20/1981,,1/11/1999
32.993.529/0001-40,IND BEBS ANTARCTICA MT SA,CANCELADA,5/9/1990,,7/26/1990
15.182.652/0001-61,IND BEBS ANTARCTICA NORTE-NORDESTE SA,CANCELADA,10/8/1979,,11/1/2001
09.259.821/0001-11,IND BEBS ANTARCTICA PARAIBA SA,CANCELADA,5/28/1987,,1/11/1999
05.234.760/0001-87,IND BEBS ANTARCTICA PIAUI SA,CANCELADA,7/1/1982,,1/11/1999
95.424.479/0001-08,IND BEBS ANTARCTICA POLAR SA,CANCELADA,7/5/1966,,5/31/2001
08.473.852/0001-08,IND BEBS ANTARCTICA RN SA,CANCELADA,5/4/1990,,1/11/1999
04.932.265/0001-89,IND BIOL FARMACEUTICA AMAZ SA,CANCELADA,10/19/1973,,3/22/2005
89.716.138/0001-03,IND CALCADOS ERNO SA,CANCELADA,7/20/1977,,12/20/2005
04.990.958/0001-28,IND CERAMICA AMAZONIA SA INCA,CANCELADA,11/28/1973,3/29/1971,2/14/2007
95.814.083/0001-69,IND DE MAQS AGRICOLAS IDEAL SA,CANCELADA,10/20/1971,,5/6/1991
51.329.092/0001-99,IND DE PAPEL PIRACICABA SA,CANCELADA,7/8/1983,,12/23/1986
90.724.345/0001-80,IND MAQS AGRICOLAS FUCHS SA,CANCELADA,4/14/1972,,10/25/2012
28.053.387/0001-63,IND MASSAS E BISCOITOS ALCOBAÇA SA,CANCELADA,7/20/1977,,1/12/1988
30.819.585/0001-37,IND METALURGICA IGUACU SA,CANCELADA,5/5/1976,,12/20/2005
61.085.544/0001-98,IND OLEOS PACAEMBU SA,CANCELADA,4/11/1986,,11/22/2006
15.891.435/0001-40,IND PAPEIS SANTO AMARO SA,CANCELADA,7/20/1977,,3/22/2005
60.432.648/0001-69,IND PAPEL PAPELAO S.ROBERTO SA,CANCELADA,11/28/1983,,11/11/1996
84.430.610/0001-15,IND TEXTIL JARITA SA,CANCELADA,11/20/1980,,3/22/2005
92.690.817/0001-57,INDAC - INDÚSTRIA,,,,
92.750.132/0001-59,INDL ARTE TECNICA S.A.,CANCELADA,3/17/1976,,1/24/1989
01.003.635/0001-05,INDL BRASIL ARREND MERC SA,CANCELADA,12/5/1996,7/26/1995,10/1/2003
92.721.315/0001-46,INDL E COML BRAS SA INCOBRASA,CANCELADA,10/13/1983,,1/11/1988
18.135.624/0001-81,INDS ALIMCS ITACOLOMY SA ITASA,CANCELADA,7/20/1977,,11/26/1987
09.886.995/0001-04,INDS ALIMENTICIAS MAGUARY SA,CANCELADA,7/20/1977,,3/13/1992
62.291.380/0001-18,INDS ARTEB SA,CANCELADA,11/28/1996,11/27/1967,1/25/2010
86.046.562/0001-91,INDS ARTEFAMA SA,CANCELADA,7/20/1977,,6/24/1993
61.142.063/0001-77,INDS C FABRINI SA,CANCELADA,7/20/1977,,6/14/1996
56.993.645/0001-27,INDS CHOCOLATE LACTA S/A,CANCELADA,7/20/1977,,7/17/1998
10.728.806/0001-54,INDS COELHO SA,CANCELADA,7/20/1977,9/16/1957,1/4/2010
31.901.382/0001-58,INDS DE BEBS JOAQUIM T A F SA,CANCELADA,11/19/1984,,7/25/1986
08.397.697/0001-98,INDS JOSSAN SA,CANCELADA,10/20/1977,,6/13/1991
06.061.105/0001-37,INDS KARINA SA,CANCELADA,7/20/1977,,8/9/2005
60.873.874/0001-85,INDS MADEIRIT SA,CANCELADA,8/5/1968,,1/4/2010
10.775.468/0001-01,INDS MINERVA SA,CANCELADA,7/20/1977,,11/22/2006
43.995.323/0001-75,INDS MONSANTO SA,CANCELADA,9/29/1981,,3/7/1986
00.322.818/0001-20,INDS NUCLEARES DO BRASIL SA,CANCELADA,11/8/1973,,7/18/1994
06.283.477/0001-08,INDS QUIMICAS NORTE SA,CANCELADA,10/25/1971,,8/9/2005
10.810.653/0001-90,INDS ROMI DO NORDESTE SA,CANCELADA,10/14/1965,,7/14/1988
84.685.106/0001-66,INDS SCHNEIDER SA,CANCELADA,8/23/1982,,1/4/2000
71.444.681/0001-25,INDS TEXTEIS BARBERO SA,CANCELADA,9/1/1982,,3/18/2008
28.500.320/0001-20,INDÚSTRIA VEROLME S.A. - IVESA,CANCELADA,7/2/1986,3/30/1959,4/7/2015
88.301.163/0001-55,INDUSTRIAS MICHELETTO S/A,CANCELADA,9/17/1968,8/8/1966,6/26/2008
02.225.714/0001-23,INEPAR ENERGIA SA,CANCELADA,12/17/1997,10/23/1997,11/21/2011
02.258.422/0001-97,INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA,ATIVO,10/23/1998,10/31/1997,
76.627.504/0001-06,INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL,ATIVO,1/22/1980,5/1/1968,
07.704.069/0001-45,INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A,CANCELADA,1/10/2008,9/21/2005,11/27/2008
01.596.910/0001-41,INFOVIAS PNSC SA,CANCELADA,7/2/1997,,5/27/2002
38.456.921/0001-36,INFRACOMMERCE CXAAS S.A.,ATIVO,4/27/2021,9/15/2020,
10.488.244/0001-19,INFRASEC SECURITIZADORA S/A,ATIVO,9/22/2009,10/27/2008,
02.604.860/0001-60,INNCORP S.A.,CANCELADA,7/20/1998,6/24/1998,11/5/2020
35.822.503/0001-27,INSPIRALI EDUCAÇÃO S.A.,ATIVO,7/27/2023,12/11/2019,
19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,CANCELADA,2/10/2017,2/2/1977,7/19/2023
19.378.769/0001-76,INSTITUTO HERMES PARDINI S/A,CANCELADA,2/10/2017,2/2/1977,7/19/2023
82.901.000/0001-27,INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,ATIVO,2/2/2021,1/11/1974,
12.395.063/0001-73,INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO,CANCELADA,2/19/2013,4/7/2010,1/7/2016
80.246.812/0001-50,INTERAGRO SA ALIMENTOS,CANCELADA,3/12/1997,,1/16/1998
62.258.884/0001-36,INTERCEMENT BRASIL SA,CANCELADA,11/12/2004,1/1/1968,8/1/2011
62.258.884/0001-36,INTERCEMENT BRASIL SA,ATIVO,7/14/2021,11/12/1968,
12.610.116/0001-21,INTERCOSMETIC HOLDING S/A,CANCELADA,8/6/2012,7/13/2010,1/7/2016
12.394.916/0001-52,INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL,CANCELADA,2/28/2013,5/27/2010,1/7/2016
17.314.329/0001-20,INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.,ATIVO,3/19/2015,1/2/1965,
08.936.792/0001-12,INTERNATIONAL MEAL COMPANY HOLDINGS,,,,
08.936.792/0001-12,INTERNATIONAL MEAL COMPANY HOLDINGS,,,,
05.347.060/0001-07,INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.,ATIVO,11/19/2021,10/9/2002,
42.461.046/0001-58,INVESPAR SA,CANCELADA,9/8/1983,,8/23/1996
00.644.907/0001-93,INVESTCO S/A,ATIVO,2/4/2000,11/1/1997,
46.112.488/0001-40,INVESTEC SA,CANCELADA,11/1/1985,,5/4/1999
02.983.657/0001-41,INVESTHOTEL S.A.,CANCELADA,1/31/2000,1/21/1999,9/19/2002
01.548.981/0001-79,INVESTIMENTOS BEMGE S.A.,ATIVO,7/20/1977,6/30/1964,
03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,ATIVO,9/29/2000,3/1/2000,
03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,ATIVO,9/29/2000,3/1/2000,
02.869.385/0001-53,INVESTMOBILE SA,CANCELADA,12/21/1998,10/20/1998,9/30/2002
02.812.190/0001-77,INVESTVALE SERVIÇOS S.A.,CANCELADA,7/20/1999,9/14/1998,5/9/2007
00.021.096/0001-74,INVISTA NYLON SUL AMERICANA S/A,CANCELADA,10/25/2000,6/10/1994,11/5/2003
10.242.478/0001-81,INVITEL LEGACY SA,CANCELADA,11/11/2008,7/23/2008,7/1/2020
02.465.782/0001-60,INVITEL SA,CANCELADA,6/17/1998,3/9/1998,7/31/2009
61.156.113/0001-75,IOCHPE MAXION SA,ATIVO,7/17/1984,5/28/1940,
61.156.113/0001-75,IOCHPE MAXION SA,ATIVO,7/17/1984,5/28/1940,
61.156.113/0001-75,IOCHPE MAXION SA,ATIVO,7/17/1984,5/28/1940,
06.263.438/0001-49,IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A,CANCELADA,11/23/1972,,12/9/1985
88.939.236/0001-39,IPIRANGA PETROQUIMICA SA,CANCELADA,3/14/1985,3/25/1976,7/18/2007
11.029.196/0001-63,IPLAC DO BR SA PLASTICOS INDL,CANCELADA,11/23/1984,,6/24/2004
92.387.018/0001-06,IRANI AGROFLORESTAL SA,CANCELADA,4/27/1989,,5/4/1995
92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,ATIVO,7/20/1977,6/6/1941,
33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,ATIVO,7/27/2017,4/3/1939,
33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,ATIVO,7/27/2017,4/3/1939,
01.545.832/0001-56,IRIRI PARTICIPACOES SA,CANCELADA,2/21/1997,,9/4/2001
52.769.783/0001-76,IRMAOS DAVOLI SA IMP E COM,CANCELADA,7/20/1977,,1/12/1988
09.295.979/0001-47,IRONX MINERAÇÃO S/A,CANCELADA,4/24/2008,12/18/2007,12/19/2008
15.121.064/0001-18,IRPESA SA IND METALURGICA,CANCELADA,12/14/1981,,3/22/2005
08.075.006/0001-30,ISA CAPITAL DO BRASIL SA,CANCELADA,1/4/2007,4/28/2006,5/28/2010
13.407.617/0001-78,ISOLUX INFRASTRUCTURE SA,CANCELADA,12/9/2011,2/24/2011,3/29/2012
01.355.994/0001-21,ITA ENERGETICA S/A,CANCELADA,3/21/2001,7/22/1996,12/26/2012
00.987.716/0001-24,ITABAPOANA PARTICIPACOES SA,CANCELADA,6/17/1996,,7/14/1998
27.184.951/0001-14,ITAGUASSU AGRO INDUSTRIAL S/A,CANCELADA,12/30/1982,,8/18/1999
01.258.943/0001-81,ITAITINGA PARTICIPACOES SA,CANCELADA,11/7/1996,4/30/1996,8/19/2019
77.558.948/0001-91,ITAMARATY FILTROS DE PAPEL SA,CANCELADA,8/28/1981,,1/28/1998
13.575.295/0001-76,ITAPARICA SA EMPREEND TURIST,CANCELADA,12/22/1978,11/9/1973,12/29/2004
02.397.080/0001-96,ITAPEBI GERAÇÃO DE ENERGIA S/A,ATIVO,2/5/2003,1/21/1999,
86.442.951/0001-36,ITAPIRUBA HOTEIS E TURISMO SA,CANCELADA,10/20/1977,,7/18/1989
08.219.477/0001-74,ITAQUI GERAÇÃO DE ENERGIA S.A.,CANCELADA,9/26/2013,7/11/2006,7/31/2015
02.180.133/0001-12,ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.,CANCELADA,4/6/1998,9/2/1997,8/19/2002
60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,CANCELADA,7/20/1977,,4/8/1998
60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,ATIVO,12/30/2002,1/1/1943,
60.701.190/0001-04,ITAU UNIBANCO S.A.,CANCELADA,7/20/1977,1/2/1945,5/8/2003
43.443.464/0001-85,ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT,CANCELADA,7/6/1983,8/10/1972,2/28/2009
61.532.644/0001-15,ITAUSA S.A.,ATIVO,7/20/1977,5/6/1966,
61.532.644/0001-15,ITAUSA S.A.,ATIVO,7/20/1977,5/6/1966,
07.256.507/0001-50,ITAUSEG PARTICIPAÇÕES SA,CANCELADA,1/5/2006,11/3/2004,11/28/2012
51.764.058/0001-42,ITAUTEC INFORMÁTICA S.A. - GRUPO ITAUTEC,CANCELADA,6/3/1982,11/16/1979,6/1/2006
54.526.082/0001-31,ITAUTEC S.A. - GRUPO ITAUTEC,CANCELADA,11/14/1985,6/1/1985,8/15/2019
01.545.830/0001-67,ITINGA PARTICIPACOES SA,CANCELADA,2/21/1997,,4/23/1999
00.185.041/0001-08,ITIQUIRA ENERGÉTICA S/A,CANCELADA,8/8/2000,6/6/1983,2/2/2009
97.395.172/0001-43,IVEN SA,CANCELADA,5/17/1994,,4/29/2005
92.754.191/0001-03,J H SANTOS SA COM E INDUSTRIA,CANCELADA,7/20/1977,,7/18/2006
14.998.371/0001-19,J. MACEDO S/A,ATIVO,10/16/2007,1/1/1982,
07.219.769/0001-44,JAIME PINHEIRO PARTIC. S/A,CANCELADA,11/10/1982,,2/9/1995
02.635.522/0001-95,JALLES MACHADO S.A.,ATIVO,2/4/2021,11/28/1980,
33.438.250/0001-67,JAMYR VASCONCELLOS SA,CANCELADA,12/23/1982,,2/10/1989
84.432.426/0001-04,JARAGUA FABRIL SA,CANCELADA,3/31/1956,3/31/1956,1/4/2010
60.395.126/0001-34,JARAGUA SA IND MECANICAS,CANCELADA,8/28/1981,,8/20/1991
04.815.734/0001-80,JARI CELULOSE SA,CANCELADA,4/27/1994,,2/20/2006
61.156.741/0001-50,JAU SA CONST E INCORPORADORA,CANCELADA,12/28/1982,,2/2/1987
02.916.265/0001-60,JBS SA,ATIVO,3/27/2007,1/1/1953,
07.859.510/0001-68,JHSF MALLS S.A.,CANCELADA,6/25/2018,12/8/2005,12/6/2023
08.294.224/0001-65,JHSF PARTICIPAÇÕES SA,ATIVO,4/4/2007,6/29/2006,
03.616.270/0001-10,JIQUIRIÇA PARTICIPAÇÕES SA,CANCELADA,10/31/2000,12/17/1999,12/31/2001
33.035.536/0001-00,JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL,ATIVO,7/20/1977,10/10/1940,
33.330.564/0001-41,JORNAL DO BRASIL SA,CANCELADA,3/15/1989,,5/24/1990
87.456.562/0001-22,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,ATIVO,3/4/1988,1/1/1920,
15.463.423/0001-15,JP PARTICIPAÇÕES S.A.,CANCELADA,11/22/2013,3/2/2012,12/31/2014
53.790.218/0001-53,JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.,CANCELADA,1/4/1985,1785-01-04,7/28/2017
52.548.435/0001-79,JSL S.A.,ATIVO,4/15/2010,8/5/1969,
52.548.435/0001-79,JSL S.A.,ATIVO,4/15/2010,8/5/1969,
00.627.379/0001-64,JUNGFRAU PARTICIPACOES SA,CANCELADA,6/16/1995,,7/21/1999
09.414.761/0001-64,K-INFRA RODOVIA DO AÇO S.A.,ATIVO,3/29/2011,3/4/2008,
88.610.779/0001-08,KALIL SEHBE SA IND VESTUARIO,CANCELADA,6/28/1968,,12/20/2005
09.146.451/0001-06,KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.,ATIVO,5/3/2021,9/27/2007,
43.283.811/0001-50,KALUNGA S.A.,ATIVO,3/8/2021,5/16/1972,
09.347.916/0001-97,KAROON PETROLEO & GAS SA,CANCELADA,11/9/2010,1/28/2008,6/21/2011
82.640.558/0001-04,KARSTEN SA,ATIVO,12/29/1971,12/23/1933,
14.164.438/0001-10,KAUFMANN CACAU INDL E COML SA,CANCELADA,7/20/1977,,3/6/1992
29.339.827/0001-06,KAURI SIGMA SA,CANCELADA,12/22/1983,,6/3/1991
91.983.056/0001-69,KEPLER WEBER SA,ATIVO,12/15/1980,1/1/1935,
57.003.881/0001-11,KIBON SA INDS ALIMENTICIAS,CANCELADA,7/20/1977,,11/4/1993
15.661.374/0001-25,KIEPPE INVESTIMENTOS SA,CANCELADA,7/8/1987,,2/14/1995
89.637.490/0001-45,KLABIN S.A.,ATIVO,8/6/1997,11/8/1978,
00.187.032/0001-48,KLABIN SEGALL S/A,CANCELADA,8/14/2006,1/1/1994,8/30/2010
13.270.520/0001-66,KORA SAÚDE PARTICIPAÇÕES S.A.,ATIVO,5/13/2021,12/8/2011,
00.354.053/0001-00,KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL,CANCELADA,10/9/1995,8/31/1995,7/12/2022
60.680.873/0001-14,KSB BOMBAS HIDRAULICAS SA,CANCELADA,12/4/1981,,10/3/1991
82.640.723/0001-10,KUALA SA,CANCELADA,1/3/1969,5/23/1936,6/30/2006
61.489.514/0001-47,LABO ELETRONICA SA,CANCELADA,4/17/1986,,1/4/2010
17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S.A.,ATIVO,8/24/2021,3/25/1957,
77.964.963/0001-30,LABRA IND BRAS DE LAPIS SA,CANCELADA,7/18/1984,,3/3/1994
02.037.966/0001-29,LAEROB PARTICIPACOES SA,CANCELADA,8/26/1997,,10/21/2003
61.080.198/0001-55,LAFER SA INDUSTRIA E COMERCIO,CANCELADA,7/20/1977,,2/29/1988
09.017.691/0001-00,LAHOTELS S.A.,CANCELADA,11/29/2007,6/11/2007,2/18/2009
57.483.190/0001-62,LAMINACAO NACIONAL METAIS SA,CANCELADA,3/13/1981,,6/18/1985
57.483.190/0001-62,LAMINACAO NACIONAL METAIS SA,CANCELADA,7/21/1986,,6/17/1997
58.900.754/0001-88,LANDIS GYR INEPAR,CANCELADA,10/31/1995,,7/15/1999
91.664.706/0001-03,LANIFICIO SEHBE SA IND E EXP,CANCELADA,3/28/1938,,12/20/2005
06.041.065/0001-61,LAPSA LATICINIOS PERIZES SA,CANCELADA,7/20/1977,,8/9/2005
44.076.123/0001-81,LARAMO SA,CANCELADA,12/7/1984,,7/23/1985
60.631.090/0001-40,LARK SA MAQ E EQUIPAMENTOS(Massa Falida Administrada Judicialmente p/Soc.Advogados Mandel Advocacia),CANCELADA,7/20/1977,7/6/1964,6/18/2015
02.628.033/0001-06,LATINTECH CAPITAL S/A,CANCELADA,3/27/2000,6/30/1998,6/12/2001
26.462.693/0001-28,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A,ATIVO,8/31/2020,9/28/2016,
21.414.457/0001-12,LEADS CIA. SECURITIZADORA,ATIVO,2/3/2015,10/15/2014,
03.120.821/0001-50,LEASING BMC SA ARREND MERC,CANCELADA,10/17/1991,,11/18/1998
87.876.033/0001-88,LEE SA IND DE CONFECCOES,CANCELADA,8/10/1982,,11/13/1987
00.873.894/0001-24,LET'S RENT A CAR S.A.,ATIVO,12/18/2023,10/9/1995,
02.390.206/0001-09,LF TEL SA,CANCELADA,7/2/1998,9/30/1997,12/11/2014
01.468.594/0001-22,LG INFORMÁTICA S.A.,CANCELADA,4/6/2021,8/8/1985,5/12/2022
26.173.550/0001-04,LGT HUB PARTICIPAÇÕES S/A,CANCELADA,8/28/2017,9/15/2016,6/18/2018
33.813.452/0001-41,LIBRA TERMINAIS SA,CANCELADA,6/9/1999,3/8/1973,11/11/2002
02.373.383/0001-79,LIBRA TERMINAL 35 SA,CANCELADA,7/24/1998,1/24/1998,11/11/2002
02.373.517/0001-51,LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL,CANCELADA,7/24/1998,1/24/1998,1/17/2005
02.373.517/0001-51,LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL,CANCELADA,7/14/2014,1/27/1998,5/8/2020
04.169.411/0001-66,LIDER AVIAÇÃO HOLDING S/A,CANCELADA,7/14/2008,1/1/2000,2/5/2010
17.162.579/0001-91,LIDER TAXI AEREO SA,CANCELADA,7/20/1977,,2/1/1989
02.357.251/0001-53,LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.,ATIVO,11/8/2019,12/22/1997,
02.217.325/0001-56,LIGA FUTEBOL SA,CANCELADA,12/8/1997,10/2/1997,1/15/2013
17.221.771/0001-01,LIGAS DE ALUMINIO SA LIASA,CANCELADA,10/20/1977,,7/3/2003
04.368.865/0001-66,LIGGA TELECOMUNICAÇÕES S.A.,ATIVO,11/14/2023,4/4/2001,
01.917.818/0001-36,LIGHT ENERGIA S.A.,ATIVO,1/11/2013,6/23/1997,
03.378.521/0001-75,LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL,ATIVO,12/12/2005,7/27/1999,
60.444.437/0001-46,LIGHT SERVIÇOS DE ELETRICIDADE SA,ATIVO,11/25/1968,6/30/1904,
60.444.437/0001-46,LIGHT SERVIÇOS DE ELETRICIDADE SA,ATIVO,11/25/1968,6/30/1904,
48.071.716/0001-06,LIMASA SA,CANCELADA,5/20/1985,3/6/1959,2/14/2007
